"duration","age","town_size","gender","edu","attitude_government","ideology","interest","attention_check","ft_inparty_supporter","ft_outparty_supporter","ft_govern_sup","ft_govern_opp","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","ft_neonazi","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","pids_1","pids_2","pids_3","pids_4","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3R","trait_4R","trait_5R","trait_6","Happy","Angry","Anxious"
872,41,4,1,3,"supporter",5,4,2,70,30,70,50,80,10,50,50,50,10,50,0,3,4,3,1,4,2,1,"HappyW",1,4,4,3,4,4,6,5,6,7,6,4,4,1,1,4,4,2,0,0
7223,57,1,2,6,"opponent",2,7,2,92,23,1,83,80,75,83,81,67,84,0,0,5,4,2,1,5,2,1,"ANXW",3,4,4,3,3,3,4,3,4,4,4,5,2,6,6,5,3,0,0,0
963,33,1,2,6,"supporter",8,5,2,37,0,52,0,47,13,23,50,0,0,28,38,5,4,5,3,4,4,2,"ANGW",4,6,6,5,5,3,3,4,7,5,3,6,5,4,3,4,5,0,1,0
1015,43,1,2,6,"supporter",8,6,2,73,18,75,31,69,17,35,68,40,29,57,0,4,5,4,4,4,4,1,"ANGW",5,6,6,4,2,3,3,3,4,6,4,2,4,4,3,3,2,0,0,0
1292,36,1,1,6,"opponent",5,3,2,69,51,0,100,68,31,70,12,10,30,36,0,4,5,5,4,4,5,1,"ANXW",6,3,1,5,2,1,2,2,2,5,4,3,2,6,4,3,4,0,2,0
435,56,5,1,6,"supporter",8,6,2,66,9,60,23,41,16,16,67,78,16,50,5,1,4,4,2,3,5,1,"ANGW",6,5,4,5,4,3,4,3,4,4,4,2,4,4,4,4,4,0,2,0
811,58,1,2,3,"opponent",5,1,2,96,1,1,46,86,0,51,63,1,95,1,1,5,5,1,1,5,1,1,"ANXW",7,7,7,7,2,2,3,3,5,5,5,2,3,5,6,5,2,0,0,0
767,65,2,1,6,"opponent",5,4,2,99,0,1,99,98,0,54,53,52,100,0,1,4,3,2,4,3,2,2,"ANXW",6,6,6,6,2,1,2,1,4,4,4,2,6,7,7,6,1,0,0,1
5052,35,1,2,2,"supporter",10,7,2,77,56,29,32,78,58,39,54,65,53,57,26,4,4,4,4,4,4,4,"ANXW",6,7,7,7,6,6,6,6,5,5,5,6,6,6,6,6,6,0,0,0
296,44,1,1,4,"supporter",10,7,2,35,7,37,52,27,13,7,100,7,40,45,28,3,4,3,3,3,3,3,"ANXW",4,1,2,1,4,4,4,4,5,5,5,4,4,4,4,4,4,0,0,0
577,31,1,2,5,"supporter",10,6,2,57,0,68,43,67,0,5,76,18,0,30,0,3,5,2,3,3,1,1,"HappyW",1,5,4,1,1,1,4,1,4,4,4,2,1,7,7,7,2,0,0,0
